Movie_ID,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
506,Mystic River,2003,A,138,Crime,7.9,84,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,419420,"9,01,35,191"
507,Harry Potter and the Prisoner of Azkaban,2004,U,142,Adventure,7.9,82,Alfonso CuarÃ³n,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths,552493,"24,93,58,727"
508,Ying xiong,2002,PG-13,120,Action,7.9,85,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang,173999,"5,37,10,019"
509,Hable con ella,2002,R,112,Drama,7.9,86,Pedro AlmodÃ³var,Rosario Flores,Javier CÃ¡mara,DarÃ­o Grandinetti,Leonor Watling,104691,"92,84,265"
510,No Man's Land,2001,R,98,Comedy,7.9,84,Danis Tanovic,Branko Djuric,Rene Bitorajac,Filip Sovagovic,Georges Siatidis,44618,"10,59,830"
511,Cowboy Bebop: Tengoku no tobira,2001,U,115,Animation,7.9,61,Shin'ichirÃ´ Watanabe,Tensai Okamura,Hiroyuki Okiura,Yoshiyuki Takei,Beau Billingslea,42897,"10,00,045"
512,The Bourne Identity,2002,UA,119,Action,7.9,68,Doug Liman,Franka Potente,Matt Damon,Chris Cooper,Clive Owen,508771,"12,16,61,683"
513,Nueve reinas,2000,R,114,Crime,7.9,80,FabiÃ¡n Bielinsky,Ricardo DarÃ­n,GastÃ³n Pauls,Graciela Tenenbaum,MarÃ­a Mercedes Villagra,49721,"12,21,261"
514,Children of Men,2006,A,109,Adventure,7.9,84,Alfonso CuarÃ³n,Julianne Moore,Clive Owen,Chiwetel Ejiofor,Michael Caine,465113,"3,55,52,383"
515,Almost Famous,2000,A,122,Adventure,7.9,90,Cameron Crowe,Billy Crudup,Patrick Fugit,Kate Hudson,Frances McDormand,252586,"3,25,34,850"
516,Mulholland Dr.,2001,R,147,Drama,7.9,85,David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,322031,"72,20,243"
517,Toy Story 2,1999,U,92,Animation,7.9,88,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,527512,"24,58,52,179"
518,Boogie Nights,1997,R,155,Drama,7.9,85,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis GuzmÃ¡n,239473,"2,64,00,640"
519,Mimi wo sumaseba,1995,U,111,Animation,7.9,75,Yoshifumi KondÃ´,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,51943,"6,80,34,751"
520,Once Were Warriors,1994,A,102,Crime,7.9,77,Lee Tamahori,Rena Owen,Temuera Morrison,Mamaengaroa Kerr-Bell,Julian Arahanga,31590,"22,01,126"
521,True Romance,1993,R,119,Crime,7.9,59,Tony Scott,Christian Slater,Patricia Arquette,Dennis Hopper,Val Kilmer,206918,"1,22,81,500"
522,Trois couleurs: Bleu,1993,U,94,Drama,7.9,85,Krzysztof Kieslowski,Juliette Binoche,Zbigniew Zamachowski,Julie Delpy,BenoÃ®t RÃ©gent,89836,"13,24,974"
523,JÃ»bÃª ninpÃ»chÃ´,1993,A,94,Animation,7.9,78,Yoshiaki Kawajiri,KÃ´ichi Yamadera,Emi Shinohara,Takeshi Aono,Osamu Saka,34529,"6,80,34,751"
524,Carlito's Way,1993,A,144,Crime,7.9,65,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,201000,"3,69,48,322"
525,Edward Scissorhands,1990,U,105,Drama,7.9,74,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,447368,"5,63,62,352"
526,My Left Foot: The Story of Christy Brown,1989,U,103,Biography,7.9,97,Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,68076,"1,47,43,391"
527,Crimes and Misdemeanors,1989,PG-13,104,Comedy,7.9,77,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,Claire Bloom,54670,"1,82,54,702"
528,The Untouchables,1987,A,119,Crime,7.9,79,Brian De Palma,Kevin Costner,Sean Connery,Robert De Niro,Charles Martin Smith,281842,"7,62,70,454"
529,Hannah and Her Sisters,1986,PG-13,107,Comedy,7.9,90,Woody Allen,Mia Farrow,Dianne Wiest,Michael Caine,Barbara Hershey,67176,"4,00,84,041"
530,Brazil,1985,U,132,Drama,7.9,84,Terry Gilliam,Jonathan Pryce,Kim Greist,Robert De Niro,Katherine Helmond,187567,"99,29,135"
531,This Is Spinal Tap,1984,R,82,Comedy,7.9,92,Rob Reiner,Rob Reiner,Michael McKean,Christopher Guest,Kimberly Stringer,128812,"1,88,751"
532,A Christmas Story,1983,U,93,Comedy,7.9,77,Bob Clark,Peter Billingsley,Melinda Dillon,Darren McGavin,Scott Schwartz,132947,"2,06,05,209"
533,The Blues Brothers,1980,U,133,Action,7.9,60,John Landis,John Belushi,Dan Aykroyd,Cab Calloway,John Candy,183182,"5,72,29,890"
